Respondenter;Q1 B4;Q2 B3;Q3 B7;Q4 B5 ;Q5 B4;Q6 B3;Q7 B7;Q8 B5;Q9 B4;Q10 B3;Q11 B7;Q12 B5;Q13 B4;Q14 B3;Q15 B7;Q16 B5;kön;ålder;utbildning;;;;
1;;;4;8;3;5;;;;;2;7;3;6;;;1;48;0;;;;
2;;;3;3;3;2;;;;;3;3;3;3;;;1;57;1;;;Total ålder;1146
3;;;5;5;6;7;;;;;7;8;8;3;;;0;40;1;;;;
4;;;9;9;6;6;;;;;8;8;8;8;;;1;62;0;;;Q1 B4;6,909090909
5;;;8;10;10;10;;;;;1;10;9;9;;;0;42;0;;;Q2 B3;5,636363636
6;;;2;6;2;3;;;;;4;5;1;6;;;0;42;0;;;Q3 B7;4,357142857
7;;;1;10;3;10;;;;;8;9;5;10;;;0;36;1;;;Q4 B5 ;6,5
8;;;7;4;9;4;;;;;8;8;6;9;;;0;35;1;;;Q5 B4;4,785714286
9;;;1;8;1;8;;;;;1;8;1;8;;;0;36;1;;;Q6 B3;5,928571429
10;;;1;2;1;2;;;;;1;1;1;5;;;0;36;0;;;Q7 B7;4
11;;;9;9;6;6;;;;;8;4;3;1;;;1;36;1;;;Q8 B5;6,545454545
12;;;4;4;7;6;;;;;6;6;8;4;;;1;35;1;;;Q9 B4;5,545454545
13;;;2;9;4;9;;;;;3;8;3;8;;;0;36;0;;;Q10 B3;6,909090909
14;;;5;4;6;5;;;;;5;6;1;2;;;1;35;1;;;Q11 B7;4,642857143
15;8;1;;;;;6;3;8;7;;;;;7;9;1;60;1;;;Q12 B5;6,5
16;3;2;;;;;2;5;3;5;;;;;3;5;0;59;1;;;Q13 B4;4,285714286
17;10;5;;;;;1;10;9;8;;;;;1;10;1;50;1;;;Q14 B3;5,857142857
18;7;9;;;;;1;9;6;8;;;;;6;6;1;57;1;;;Q15 B7;5,181818182
19;4;8;;;;;4;8;4;9;;;;;4;9;1;43;1;;;Q16 B5;7,363636364
20;8;7;;;;;4;8;9;6;;;;;6;10;1;37;1;;;;
21;5;4;;;;;5;3;6;8;;;;;3;5;0;49;1;;;;
22;8;8;;;;;5;9;3;8;;;;;4;8;0;57;1;;;Kvinnor;14
23;10;10;;;;;2;10;2;9;;;;;9;10;1;46;1;;;Män;11
24;8;5;;;;;8;5;5;6;;;;;6;7;1;56;1;;;;
25;5;3;;;;;6;2;6;2;;;;;8;2;1;56;1;;;;
26;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
