Respondenter;Q1 B4;Q2 B3;Q3 B7;Q4 B5 ;Q5 B4;Q6 B3;Q7 B7;Q8 B5;Q9 B4;Q10 B3;Q11 B7;Q12 B5;Q13 B4;Q14 B3;Q15 B7;Q16 B5;Kön;ålder;Utbildning;;;;
1;;;6;9;6;5;;;;;7;8;9;9;;;1;27;1;;;;
2;;;5;6;4;4;;;;;6;6;3;5;;;0;26;0;;;Total ålder ;1983
3;;;5;6;7;7;;;;;8;7;9;8;;;1;20;1;;;;
4;;;3;5;4;6;;;;;8;10;7;9;;;1;20;1;;;;
5;;;8;8;5;8;;;;;7;8;3;8;;;1;33;1;;;;
6;;;8;7;7;7;;;;;5;8;5;8;;;0;26;1;;;Q1 B4;7,2
7;;;8;8;3;8;;;;;2;10;2;6;;;0;24;1;;;Q2 B3;7,485714286
8;;;5;8;4;4;;;;;4;4;5;6;;;1;29;0;;;Q3 B7;6
9;;;3;4;2;2;;;;;4;5;4;5;;;0;30;0;;;Q4 B5 ;6
10;;;3;4;6;7;;;;;6;7;1;3;;;0;30;1;;;Q5 B4;5,045454545
11;;;7;8;4;8;;;;;7;5;3;6;;;0;30;1;;;Q6 B3;5,5
12;;;7;8;6;7;;;;;4;7;6;7;;;0;27;1;;;Q7 B7;6,8
13;;;7;5;7;9;;;;;3;7;3;8;;;0;28;1;;;Q8 B5;6,4
14;;;3;5;1;3;;;;;7;5;5;5;;;0;30;1;;;Q9 B4;6,485714286
15;;;4;8;8;8;;;;;8;8;8;7;;;0;30;1;;;Q10 B3;8,171428571
16;;;2;7;2;7;;;;;2;8;2;2;;;1;26;1;;;Q11 B7;5,318181818
17;;;8;6;7;9;;;;;5;8;4;7;;;0;25;1;;;Q12 B5;6
18;;;9;9;6;9;;;;;5;9;8;8;;;0;30;1;;;Q13 B4;4,568181818
19;;;6;7;6;7;;;;;6;6;4;7;;;0;31;1;;;Q14 B3;5,704545455
20;;;5;5;1;10;;;;;1;8;3;10;;;1;29;0;;;Q15 B7;6,685714286
21;;;5;2;1;1;;;;;2;1;1;1;;;1;32;1;;;Q16 B5;7,771428571
22;;;5;1;10;1;;;;;10;6;5;10;;;0;27;1;;;;
23;;;3;7;5;5;;;;;5;5;3;3;;;1;30;1;;;;
24;;;6;5;6;6;;;;;7;6;6;7;;;0;24;1;;;Kvinor;32
25;;;7;4;6;4;;;;;3;8;3;9;;;1;29;1;;;Män;46
26;;;3;8;3;9;;;;;3;8;4;7;;;1;23;1;;;;
27;;;10;7;3;1;;;;;4;5;2;2;;;1;26;1;;;;
28;;;10;7;1;6;;;;;7;1;10;1;;;1;20;1;;;;
29;;;10;1;8;1;;;;;10;2;1;1;;;0;25;1;;;;
30;;;8;10;9;10;;;;;3;10;7;10;;;0;26;1;;;;
31;;;4;7;6;7;;;;;4;5;7;3;;;0;26;1;;;;
32;;;7;7;6;7;;;;;6;7;5;3;;;1;25;1;;;;
33;;;5;9;3;3;;;;;7;8;3;9;;;1;23;1;;;;
34;;;8;5;8;5;;;;;8;6;8;8;;;1;26;1;;;;
35;;;6;1;3;1;;;;;5;2;3;4;;;1;26;1;;;;
36;;;6;10;10;3;;;;;6;3;4;2;;;1;26;1;;;;
37;;;6;6;3;3;;;;;7;3;2;2;;;1;22;0;;;;
38;;;9;7;9;9;;;;;3;9;8;8;;;0;23;1;;;;
39;;;5;9;8;7;;;;;8;9;8;5;;;0;26;1;;;;
40;;;1;1;2;1;;;;;2;1;1;1;;;1;30;1;;;;
41;;;7;4;5;2;;;;;5;3;4;3;;;1;30;0;;;;
42;;;6;8;6;8;;;;;8;6;9;9;;;0;31;1;;;;
43;;;9;5;5;7;;;;;6;6;3;9;;;0;24;1;;;;
44;6;9;;;;;6;9;7;8;;;;;8;10;0;23;1;;;;
45;8;7;;;;;5;4;6;5;;;;;7;8;0;24;1;;;;
46;2;4;;;;;6;5;5;4;;;;;4;4;0;24;1;;;;
47;8;8;;;;;9;6;8;8;;;;;5;8;0;21;1;;;;
48;10;6;;;;;9;5;8;6;;;;;7;8;0;24;1;;;;
49;7;9;;;;;7;9;5;9;;;;;5;7;1;22;1;;;;
50;7;6;;;;;6;7;5;8;;;;;6;8;0;23;1;;;;
51;8;8;;;;;9;6;8;10;;;;;8;9;0;26;1;;;;
52;10;9;;;;;8;7;8;7;;;;;9;7;0;23;1;;;;
53;4;7;;;;;7;2;1;8;;;;;4;8;1;27;1;;;;
54;8;7;;;;;8;6;6;8;;;;;6;7;1;21;1;;;;
55;7;6;;;;;6;6;10;10;;;;;8;9;0;24;1;;;;
56;8;5;;;;;8;6;6;7;;;;;6;6;0;24;1;;;;
57;9;8;;;;;5;4;6;10;;;;;9;5;0;24;1;;;;
58;7;1;;;;;5;1;3;7;;;;;8;1;0;24;1;;;;
59;5;8;;;;;5;6;6;8;;;;;8;5;1;25;0;;;;
60;10;7;;;;;10;10;10;10;;;;;10;10;1;25;1;;;;
61;8;10;;;;;6;5;8;8;;;;;10;10;0;23;1;;;;
62;8;8;;;;;6;4;8;10;;;;;7;9;0;22;1;;;;
63;10;10;;;;;7;6;7;8;;;;;10;8;1;23;1;;;;
64;5;8;;;;;5;9;5;8;;;;;2;9;1;23;1;;;;
65;6;10;;;;;8;4;8;8;;;;;4;5;0;23;1;;;;
66;9;9;;;;;10;7;7;9;;;;;8;8;0;24;1;;;;
67;6;7;;;;;7;3;7;9;;;;;5;9;0;24;1;;;;
68;8;4;;;;;8;5;7;5;;;;;9;7;1;24;1;;;;
69;10;9;;;;;8;9;7;8;;;;;8;9;0;23;1;;;;
70;8;7;;;;;3;10;5;10;;;;;5;10;1;28;1;;;;
71;5;7;;;;;4;7;5;7;;;;;3;7;0;24;1;;;;
72;3;7;;;;;5;8;5;8;;;;;4;8;1;26;1;;;;
73;9;5;;;;;8;4;6;8;;;;;9;7;0;23;1;;;;
74;7;8;;;;;4;8;7;8;;;;;5;6;0;22;1;;;;
75;8;10;;;;;6;10;5;10;;;;;5;10;0;24;1;;;;
76;5;10;;;;;8;10;8;10;;;;;7;10;0;23;1;;;;
77;8;8;;;;;10;6;8;10;;;;;10;10;1;25;1;;;;
78;5;10;;;;;6;10;6;9;;;;;5;10;0;24;1;;;;
79;;;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
